
Country	Currency	Code	Number
ZIMBABWE	Zimbabwe Dollar	ZWL	932
ZAMBIA	Zambian Kwacha	ZMW	967
LESOTHO	Rand	ZAR	710
NAMIBIA	Rand	ZAR	710
SOUTH AFRICA	Rand	ZAR	710
YEMEN	Yemeni Rial	YER	886
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP	ADB Unit of Account	XUA	965
SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS "SUCRE"	Sucre	XSU	994
FRENCH POLYNESIA	CFP Franc	XPF	953
NEW CALEDONIA	CFP Franc	XPF	953
WALLIS AND FUTUNA	CFP Franc	XPF	953
BENIN	CFA Franc BCEAO	XOF	952
BURKINA FASO	CFA Franc BCEAO	XOF	952
CÔTE D'IVOIRE	CFA Franc BCEAO	XOF	952
GUINEA-BISSAU	CFA Franc BCEAO	XOF	952
MALI	CFA Franc BCEAO	XOF	952
NIGER (THE)	CFA Franc BCEAO	XOF	952
SENEGAL	CFA Franc BCEAO	XOF	952
TOGO	CFA Franc BCEAO	XOF	952
INTERNATIONAL MONETARY FUND (IMF) 	SDR (Special Drawing Right)	XDR	960
CURAÇAO	Caribbean Guilder	XCG	532
SINT MAARTEN (DUTCH PART)	Caribbean guilder	XCG	532
ANGUILLA	East Caribbean Dollar	XCD	951
ANTIGUA AND BARBUDA	East Caribbean Dollar	XCD	951
DOMINICA	East Caribbean Dollar	XCD	951
GRENADA	East Caribbean Dollar	XCD	951
MONTSERRAT	East Caribbean Dollar	XCD	951
SAINT KITTS AND NEVIS	East Caribbean Dollar	XCD	951
SAINT LUCIA	East Caribbean Dollar	XCD	951
SAINT VINCENT AND THE GRENADINES	East Caribbean Dollar	XCD	951
CAMEROON	CFA Franc BEAC	XAF	950
CENTRAL AFRICAN REPUBLIC (THE)	CFA Franc BEAC	XAF	950
CHAD	CFA Franc BEAC	XAF	950
CONGO (THE)	CFA Franc BEAC	XAF	950
EQUATORIAL GUINEA	CFA Franc BEAC	XAF	950
GABON	CFA Franc BEAC	XAF	950
SAMOA	Tala	WST	882
VANUATU	Vatu	VUV	548
VIET NAM	Dong	VND	704
VENEZUELA (BOLIVARIAN REPUBLIC OF)	Bolivar	VEF	937
VENEZUELA (BOLIVARIAN REPUBLIC OF)	Bolivar	VED	926
UZBEKISTAN	Uzbekistan Sum	UZS	860
