employeeId,employeeName,companyName,year,leaveType,policyId,policyQuota,openingBalance,carriedForward,approvedApplied,pendingApplied,totalApplied,storedUsed,storedPending,storedClosing,expectedClosingStandard,expectedClosingRabs,isDuplicate,duplicateRecordCount,duplicatePolicyIds,balanceDocId,createdAt,flags
6672a2501aa931b68b091123,,,2026,lwp,,,1000,0,0,0,0,0,0,2000,1000,1000,false,1,,69e21187f7b0e5252f8ac907,2026-04-17T10:55:03.568Z,CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091123,,,2026,privilege,,,25,0,0,0,0,10,0,15,25,25,false,1,,6a48f4ee7c50fde9c3d2fcb8,2026-07-04T11:56:30.565Z,SYNC_DRIFT | CREATED_AFTER_HR_FIX | CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091fae,,,2026,lwp,,,1000,0,0,0,0,0,0,2000,1000,1000,false,1,,69e0db739c5f930799950121,2026-04-16T12:52:03.637Z,CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091fae,,,2026,privilege,,,25,0,0,0,0,12,0,13,25,25,false,1,,69e0db7b9c5f930799950130,2026-04-16T12:52:11.969Z,SYNC_DRIFT | CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091faf,,,2026,lwp,,,1000,0,0,0,0,0,0,2000,1000,1000,false,1,,69df91b5540bb18fd26561f4,2026-04-15T13:25:09.242Z,CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091faf,,,2026,privilege,,,25,0,0,0,0,1,0,24,25,25,false,1,,69de1fbfbd1a7aa798b20689,2026-04-14T11:06:39.154Z,SYNC_DRIFT | CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091fb2,,,2026,lwp,,,2000,0,0,0,0,0,0,2000,2000,2000,false,1,,6a48b1237c50fde9c3cd2f27,2026-07-04T07:07:15.411Z,CREATED_AFTER_HR_FIX
6672a2501aa931b68b091fb6,,,2026,lwp,,,9007199254740991,0,0,0,0,0,0,2000,9007199254740991,9007199254740991,false,1,,6a27c54af2433a397eb5cd23,2026-06-09T07:48:26.188Z,CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091fb6,,,2026,privilege,,,25,0,0,0,0,22,0,3,25,25,false,1,,69d50ce0c8b8de4ee904c746,2026-04-07T13:55:44.700Z,SYNC_DRIFT | CLOSING_BALANCE_MISMATCH
6672a2501aa931b68b091fb7,,,2026,lwp,,,1000,0,0,0,0,2,0,998,1000,1000,false,1,,69d33f49ff166b746b2f21c8,2026-04-06T05:06:17.129Z,SYNC_DRIFT | CLOSING_BALANCE_MISMATCH
